,worked_during_school,computer_skills,volunteer,military,employment_holes,has_email_address,resume_quality,milvol,positive_col,avg_milwork,mltp_experspecskill
0,0,1,0,0,1,0,0,0,1,0.0,0
1,1,1,1,1,0,1,1,1,3,1.0,0
2,1,1,0,0,0,0,0,0,1,0.5,0
3,0,1,1,0,1,1,1,0,2,0.0,6
4,1,1,0,0,0,1,1,0,1,0.5,0
5,0,0,0,0,0,0,0,0,1,0.0,6
6,1,1,1,0,0,1,1,0,2,0.5,5
7,0,1,1,0,1,1,1,0,2,0.0,21
8,0,1,0,0,0,0,0,0,1,0.0,3
9,1,0,1,0,0,1,1,0,1,0.5,6
10,0,1,1,0,1,1,1,0,2,0.0,8
11,1,1,0,0,0,1,1,0,1,0.5,0
12,0,1,0,0,1,0,0,0,1,0.0,4
13,1,1,0,0,0,0,0,0,1,0.5,0
14,0,0,1,0,0,1,1,0,1,0.0,5
15,0,1,0,0,0,0,0,0,1,0.0,4
16,1,0,1,0,0,1,1,0,1,0.5,0
17,0,0,0,0,0,0,0,0,0,0.0,6
18,1,0,1,0,0,1,1,0,2,0.5,6
19,0,0,0,0,1,0,0,0,0,0.0,0
20,1,1,1,0,0,1,1,0,2,0.5,4
21,0,1,0,0,0,0,0,0,1,0.0,3
22,0,0,0,0,0,0,0,0,0,0.0,0
23,0,1,0,0,1,0,0,0,1,0.0,0
24,0,1,1,0,0,1,1,0,2,0.0,3
25,1,1,0,0,1,0,0,0,1,0.5,0
26,0,1,1,0,0,1,1,0,2,0.0,4
27,0,1,1,0,1,1,1,0,2,0.0,6
28,1,1,0,0,0,1,1,0,1,0.5,0
29,0,1,0,0,0,0,0,0,1,0.0,2
30,0,1,0,0,0,0,0,0,1,0.0,0
31,1,1,0,0,0,0,0,0,1,0.5,0
32,0,1,1,0,1,1,1,0,2,0.0,0
33,1,1,0,0,1,1,1,0,2,0.5,0
34,0,0,0,0,0,0,0,0,0,0.0,0
35,1,1,1,0,0,1,1,0,2,0.5,0
36,0,1,0,0,1,0,0,0,1,0.0,0
37,0,0,0,0,0,0,0,0,0,0.0,3
38,1,1,1,1,0,1,1,1,3,1.0,0
39,1,0,1,0,0,1,1,0,1,0.5,5
40,0,1,0,0,1,0,0,0,2,0.0,0
41,1,0,1,0,0,1,1,0,1,0.5,5
42,0,1,1,0,1,1,1,0,2,0.0,0
43,1,1,0,0,0,0,0,0,1,0.5,0
44,0,1,0,0,1,0,0,0,1,0.0,5
45,0,1,1,0,1,1,1,0,2,0.0,0
46,0,1,1,0,1,1,1,0,2,0.0,4
47,1,0,1,0,0,1,1,0,1,0.5,5
48,0,1,0,0,1,0,0,0,1,0.0,0
49,1,1,0,0,0,1,1,0,1,0.5,5
50,1,1,0,0,1,0,0,0,1,0.5,0
51,1,1,1,0,0,1,1,0,2,0.5,0
52,1,1,0,0,1,0,0,0,1,0.5,13
53,0,1,0,0,1,0,0,0,2,0.0,19
54,1,0,1,0,0,1,1,0,1,0.5,0
55,0,1,0,1,1,1,1,0,2,0.5,7
56,1,1,0,0,1,1,1,0,1,0.5,0
57,1,0,1,0,0,1,1,0,1,0.5,5
58,1,1,0,0,1,0,0,0,1,0.5,4
59,1,1,0,0,0,1,1,0,1,0.5,5
60,1,1,0,0,0,0,0,0,1,0.5,0
61,1,1,1,0,0,1,1,0,2,0.5,0
62,0,1,1,0,0,1,1,0,2,0.0,5
63,0,0,0,0,0,0,0,0,0,0.0,0
64,1,0,1,0,0,0,1,0,1,0.5,0
65,0,1,0,0,1,0,0,0,1,0.0,6
66,1,1,0,0,1,0,1,0,2,0.5,0
67,1,1,1,1,0,0,1,1,3,1.0,0
68,0,1,1,0,1,0,1,0,2,0.0,0
69,1,1,0,0,1,0,0,0,1,0.5,0
70,0,0,1,0,0,0,1,0,1,0.0,5
71,0,1,1,0,0,0,1,0,2,0.0,5
72,1,1,0,0,0,0,0,0,1,0.5,0
73,0,0,0,0,0,0,0,0,0,0.0,5
74,1,1,1,1,0,0,1,1,3,1.0,0
75,0,1,0,0,0,0,0,0,1,0.0,4
76,1,1,1,0,0,0,1,0,2,0.5,0
77,1,1,1,0,0,0,1,0,2,0.5,0
78,0,1,0,0,1,0,0,0,2,0.0,0
79,0,1,0,0,1,0,0,0,1,0.0,0
80,0,1,0,0,1,0,0,0,1,0.0,5
81,0,1,1,0,1,0,1,0,2,0.0,4
82,1,1,0,0,0,0,0,0,1,0.5,0
83,1,1,1,0,1,0,1,0,2,0.5,0
85,1,1,1,0,1,0,1,0,2,0.5,0
86,0,1,0,0,0,0,0,0,1,0.0,3
87,1,1,0,0,0,0,0,0,1,0.5,0
88,0,1,0,0,1,0,0,0,1,0.0,0
89,1,1,0,0,0,0,1,0,1,0.5,0
90,1,0,1,0,1,0,1,0,2,0.5,4
91,1,1,1,1,0,0,1,1,3,1.0,4
92,1,1,0,0,0,0,1,0,1,0.5,4
93,0,1,0,0,0,0,0,0,1,0.0,2
94,0,1,1,0,1,0,1,0,2,0.0,10
95,1,0,1,0,1,0,1,0,1,0.5,0
96,1,0,1,0,0,0,1,0,1,0.5,5
97,1,1,1,0,1,0,1,0,2,0.5,0
98,1,1,0,0,0,0,0,0,1,0.5,3
99,0,1,0,0,1,0,0,0,1,0.0,2
100,1,1,0,0,0,0,1,0,1,0.5,0
101,0,1,1,0,1,0,1,0,2,0.0,7
102,1,0,1,0,1,0,1,0,1,0.5,0
103,1,0,1,0,0,0,1,0,1,0.5,4
104,1,1,1,0,0,0,1,0,2,0.5,0
105,1,0,1,0,0,0,1,0,2,0.5,6
106,1,1,1,0,1,0,1,0,2,0.5,0
107,1,0,1,0,1,0,1,0,1,0.5,6
108,1,0,1,0,0,0,1,0,1,0.5,6
109,1,0,1,1,0,0,1,1,2,1.0,6
110,1,0,1,0,0,0,1,0,2,0.5,6
111,1,0,1,0,0,0,1,0,1,0.5,0
112,1,1,1,0,1,0,0,0,2,0.5,0
113,1,1,0,0,1,0,0,0,1,0.5,0
